,transID,cumid,time,amount,type_label,type
23612,27429,40164,05JAN10:21:28:54,149.0,normal,Normal
23613,24650,40165,11OCT09:20:34:22,49.0,normal,Normal
23614,3551,40165,15MAY09:13:57:37,224.0,normal,Normal
23615,3666,40165,15MAY09:15:11:34,249.0,normal,Normal
23616,16953,40165,02AUG09:21:42:07,2.0,normal,Normal
23617,23533,40165,30SEP09:09:57:43,2.0,normal,Normal
23618,33931,40165,20MAY10:19:21:51,72.0,normal,Normal
23619,40268,40165,22JUN10:11:54:18,-359.0,return,returned_goods
23620,42193,40165,02JUL10:13:39:03,0.0,giveaway,Presented
23621,44936,40165,16JUL10:19:44:34,0.0,giveaway,Presented
23622,47345,40165,30JUL10:20:07:41,0.0,giveaway,Presented
23623,49250,40165,13AUG10:19:07:12,261.0,normal,Normal
23624,49187,40165,13AUG10:14:00:53,0.0,giveaway,Presented
23625,18493,40165,14AUG09:11:15:03,239.0,normal,Normal
23626,25452,40165,24OCT09:19:21:55,221.0,normal,Normal
23627,28184,40165,22JAN10:21:35:26,240.0,normal,Normal
23628,32227,40165,06MAY10:20:53:46,0.0,giveaway,Presented
23629,32478,40165,09MAY10:13:39:03,0.0,giveaway,Presented
23630,34648,40165,23MAY10:18:16:16,669.0,normal,Normal
23631,35913,40165,31MAY10:18:47:41,399.0,normal,Normal
23632,52786,40165,17SEP10:19:05:54,0.0,giveaway,Presented
23633,15040,40165,23JUL09:08:46:33,69.0,normal,Normal
23634,22887,40165,21SEP09:16:35:00,287.0,normal,Normal
23635,25128,40165,17OCT09:10:43:51,100.0,normal,Normal
23636,25824,40165,02NOV09:19:12:19,100.0,normal,Normal
23637,29348,40165,23FEB10:12:54:37,119.0,normal,Normal
23638,22922,40166,22SEP09:13:18:51,332.0,normal,Normal
23639,23406,40166,28SEP09:13:34:41,-24.0,return,returned_goods
23640,33214,40166,15MAY10:14:57:43,0.0,giveaway,Presented
23641,42902,40166,05JUL10:19:54:29,349.0,normal,Normal
23642,43177,40166,07JUL10:14:59:45,269.0,normal,Normal
23643,43792,40166,10JUL10:14:15:06,0.0,giveaway,Presented
23644,47419,40166,31JUL10:17:15:27,0.0,giveaway,Presented
23645,50619,40166,24AUG10:21:18:37,179.0,normal,Normal
23646,53362,40166,23SEP10:14:55:30,0.0,giveaway,Presented
23647,18213,40166,12AUG09:09:33:35,249.0,normal,Normal
23648,30281,40166,29MAR10:09:13:16,449.0,normal,Normal
23649,30395,40166,31MAR10:20:29:48,287.0,normal,Normal
23650,33381,40166,16MAY10:18:42:21,224.0,normal,Normal
23651,49928,40166,17AUG10:19:20:27,174.0,normal,Normal
23652,53237,40166,22SEP10:17:50:33,180.0,normal,Normal
23653,21482,40166,07SEP09:15:06:58,12.0,normal,Normal
23654,25517,40166,25OCT09:18:31:10,0.0,giveaway,Presented
23655,33330,40166,16MAY10:11:51:08,0.0,giveaway,Presented
23656,41924,40166,30JUN10:18:47:20,0.0,giveaway,Presented
23657,41959,40166,30JUN10:21:07:34,0.0,giveaway,Presented
23658,3910,40167,15MAY09:18:08:54,215.0,normal,Normal
23659,7916,40167,05JUN09:19:04:52,249.0,normal,Normal
23660,8252,40167,07JUN09:16:33:15,30.0,normal,Normal
23661,9684,40167,16JUN09:21:29:56,249.0,normal,Normal
23662,11836,40167,01JUL09:14:42:15,299.0,normal,Normal
